입영월,군사특기명,입영부대,접수인원,지원인원,남은인원,커트라인
2023년1월,지게차운전(중졸),육군훈련소,4,0,-4,0
2023년1월,차량부대정비(중졸),육군훈련소,5,0,-5,0
2023년1월,구난차량운전(중졸),육군훈련소,3,0,-3,0
2023년1월,선박운용(중졸),육군훈련소,1,0,-1,0
2023년1월,전문간호,육군훈련소,6,10,4,74
2023년1월,신호정보/전자전운용,육군훈련소,16,56,40,61
2023년2월,K계열전차승무,육군훈련소,54,76,22,46
2023년2월,장갑차조종,육군훈련소,93,91,-2,46
2023년2월,K-21보병전투차량승무,육군훈련소,23,32,9,46
2023년2월,K-55자주포조종,육군훈련소,43,64,21,46
2023년2월,K-9자주포조종,육군훈련소,48,47,-1,46
2023년2월,K239포병,육군훈련소,39,31,-8,57
2023년2월,M/A포병,육군훈련소,5,9,4,59
2023년2월,사격지휘,육군훈련소,93,44,-49,52
2023년2월,포병레이더,육군훈련소,2,10,8,62
2023년2월,포병측지,육군훈련소,20,22,2,62
2023년2월,현무포병,육군훈련소,5,13,8,60
2023년2월,휴대용유도무기운용/정비,육군훈련소,17,408,391,58
2023년2월,군사정보,육군훈련소,27,90,63,64
2023년2월,땅굴탐지,육군훈련소,20,19,-1,54
2023년2월,감시장비운용,육군훈련소,167,200,33,52
2023년2월,야전건설,육군훈련소,11,80,69,78
2023년2월,배관/기계설비,육군훈련소,2,20,18,87
2023년2월,다목적굴착기운전,육군훈련소,2,12,10,74
2023년2월,도하장비조종,육군훈련소,9,12,3,58
2023년2월,공기압축기운용,육군훈련소,2,3,1,58
2023년2월,크레인운용,육군훈련소,4,13,9,69
2023년2월,로더운전,육군훈련소,10,17,7,64
2023년2월,굴착기운용,육군훈련소,1,73,72,85
2023년2월,발전기운용/정비,육군훈련소,9,60,51,88
2023년2월,공병장비부대정비,육군훈련소,3,3,0,52
2023년2월,전술통신장비운용/정비,육군훈련소,237,113,-124,52
2023년2월,무선전송장비운용/정비,육군훈련소,52,160,108,61
2023년2월,이동통신장비운용/정비,육군훈련소,71,26,-45,56
2023년2월,정보통신망관리장비운용/정비,육군훈련소,16,52,36,61
2023년2월,교환시설운용/정비,육군훈련소,14,23,9,56
2023년2월,위성운용/정비,육군훈련소,26,86,60,65
2023년2월,레이다운용/정비,육군훈련소,24,52,28,58
2023년2월,네트워크운용/정비,육군훈련소,56,114,58,59
2023년2월,전술C4I운용/정비,육군훈련소,47,84,37,58
2023년2월,정보체계운용/정비,육군훈련소,44,78,34,58
2023년2월,기동헬기운용,육군훈련소,31,60,29,61
2023년2월,화생방,육군훈련소,6,163,157,92
2023년2월,화생방제독,육군훈련소,64,89,25,55
2023년2월,유선장비정비,육군훈련소,9,27,18,61
2023년2월,무선장비정비,육군훈련소,10,54,44,83
2023년2월,공병장비정비,육군훈련소,7,24,17,68
2023년2월,용접/기계공작,육군훈련소,2,36,34,88
2023년2월,화생방장비정비,육군훈련소,5,17,12,62
2023년2월,의무장비정비,육군훈련소,7,87,80,91
2023년2월,탄약관리,육군훈련소,93,127,34,56
2023년2월,편성보급,육군훈련소,34,88,54,60
2023년2월,지원보급,육군훈련소,89,104,15,52
2023년2월,연료관리,육군훈련소,35,47,12,52
2023년2월,물자근무지원,육군훈련소,15,76,61,63
2023년2월,조리,육군훈련소,186,178,-8,56
2023년2월,수송운용(차량운전),육군훈련소,1000,2531,1531,100
2023년2월,수송운용(차량운전),1사단,31,182,151,106
2023년2월,수송운용(차량운전),25사단,61,223,162,101
2023년2월,수송운용(차량운전),9사단,61,317,256,103
2023년2월,수송운용(차량운전),3사단,53,152,99,99
2023년2월,수송운용(차량운전),6사단,50,143,93,99
2023년2월,수송운용(차량운전),5사단,62,188,126,100
2023년2월,수송운용(차량운전),28사단,62,201,139,100
2023년2월,수송운용(차량운전),51사단,69,519,450,106
2023년2월,수송운용(차량운전),55사단,33,413,380,107
2023년2월,차륜형장갑차운전,육군훈련소,34,43,9,93
2023년2월,차량부대정비,육군훈련소,80,92,12,55
2023년2월,구난차량운전,육군훈련소,35,52,17,96
2023년2월,항만운용,육군훈련소,11,48,37,62
