입영월,특기,접수인원,지원인원,커트라인
23년8월,항공,18 ,9 ,0
22년1월,화학(화생방),2,8 ,58 
22년2월,화학(화생방),8,14,54 
22년3월,화학(화생방),12,21,56 
22년5월,화학(화생방),11,24,60 
22년6월,화학(화생방),27,9,55 
22년8월,화학(화생방),2,0,0
22년9월,화학(화생방),20,3,60 
22년10월,화학(화생방),10 ,1 ,66 
22년12월,화학(화생방),8 ,0 ,0
23년1월,화학(화생방),10 ,11 ,56 
23년3월,화학(화생방),11 ,28 ,60 
23년4월,화학(화생방),10 ,33 ,62 
23년6월,화학(화생방),13 ,15 ,56 
23년7월,화학(화생방),9 ,8 ,0
23년8월,화학(화생방),11 ,1 ,0
