군구분,검사구분코드,검사지침구분,검사지침코드,검사지침코드명,자격면허등급
육군,0073,면허,3017,회계정보처리사,일반면허비공인
공군,BJ01,면허,3017,회계정보처리사,일반면허비공인
육군,0073,면허,3016,회계정보사,일반면허비공인
공군,BJ01,면허,3016,회계정보사,일반면허비공인
해병,BJ20,면허,A0087,회계관리 2급,일반면허공인
해병,BJ01,면허,A0087,회계관리 2급,일반면허공인
육군,0071,면허,A0087,회계관리 2급,일반면허공인
공군,BJ01,면허,A0087,회계관리 2급,일반면허공인
해병,BJ20,면허,A0086,회계관리 1급,일반면허공인
해병,BJ01,면허,A0086,회계관리 1급,일반면허공인
육군,0071,면허,A0086,회계관리 1급,일반면허공인
공군,BJ01,면허,A0086,회계관리 1급,일반면허공인
공군,BJ01,면허,A0086,회계관리 1급,일반면허공인
해병,BJ20,면허,A0231,환경측정분석사면허,일반면허공인
해병,BJ01,면허,A0231,환경측정분석사면허,일반면허공인
해군,BJ01,면허,A0231,환경측정분석사면허,일반면허공인
육군,6031,면허,A0231,환경측정분석사면허,일반면허공인
공군,BJ06,면허,A0231,환경측정분석사면허,일반면허공인
육군,6021,자격,1029,환경위해관리기사,기사급이상
육군,6021,자격,9618,환경위해관리기사,기사급이상
해병,BJ20,자격,W53I,환경영향평가_L5,기사급이상
해병,BJ01,자격,W53I,환경영향평가_L5,기사급이상
해군,BJ01,자격,W53I,환경영향평가_L5,기사급이상
육군,6031,자격,W53I,환경영향평가_L5,기사급이상
공군,BJ01,자격,W53I,환경영향평가_L5,기사급이상
해병,BJ20,자격,W50I,환경영향평가 L5,기사급이상
해병,BJ20,자격,5W0V,환경영향평가 L5,기사급이상
해병,BJ01,자격,5W0V,환경영향평가 L5,기사급이상
해병,BJ01,자격,W50I,환경영향평가 L5,기사급이상
해군,BJ01,자격,5W0V,환경영향평가 L5,기사급이상
해군,BJ01,자격,W50I,환경영향평가 L5,기사급이상
육군,6031,자격,5W0V,환경영향평가 L5,기사급이상
육군,6031,자격,W50I,환경영향평가 L5,기사급이상
공군,BJ01,자격,W50I,환경영향평가 L5,기사급이상
공군,BJ01,자격,5W0V,환경영향평가 L5,기사급이상
해병,BJ20,자격,W43B,환경시설관리_L4,산업기사급
해병,BJ06,자격,W43B,환경시설관리_L4,산업기사급
해병,BJ01,자격,W43B,환경시설관리_L4,산업기사급
해군,BJ01,자격,W43B,환경시설관리_L4,산업기사급
육군,6031,자격,W43B,환경시설관리_L4,산업기사급
공군,BJ01,자격,W43B,환경시설관리_L4,산업기사급
해병,BJ20,자격,W40B,환경시설관리 L4,산업기사급
해병,BJ20,자격,4W0B,환경시설관리 L4,산업기사급
해병,BJ06,자격,W40B,환경시설관리 L4,산업기사급
해병,BJ06,자격,4W0B,환경시설관리 L4,산업기사급
해병,BJ01,자격,W40B,환경시설관리 L4,산업기사급
해병,BJ01,자격,4W0B,환경시설관리 L4,산업기사급
해군,BJ01,자격,W40B,환경시설관리 L4,산업기사급
해군,BJ01,자격,4W0B,환경시설관리 L4,산업기사급
육군,6031,자격,W40B,환경시설관리 L4,산업기사급
육군,6031,자격,4W0B,환경시설관리 L4,산업기사급
공군,BJ01,자격,4W0B,환경시설관리 L4,산업기사급
공군,BJ01,자격,W40B,환경시설관리 L4,산업기사급
해병,BJ20,자격,H55R,환경디자인_L5,기사급이상
해병,BJ20,자격,H50R,환경디자인_L5,기사급이상
해병,BJ20,자격,5H1G,환경디자인_L5,기사급이상
해병,BJ01,자격,H50R,환경디자인_L5,기사급이상
해병,BJ01,자격,5H1G,환경디자인_L5,기사급이상
해병,BJ01,자격,H55R,환경디자인_L5,기사급이상
해군,BJ01,자격,H50R,환경디자인_L5,기사급이상
해군,BJ01,자격,5H1G,환경디자인_L5,기사급이상
해군,BJ01,자격,H55R,환경디자인_L5,기사급이상
육군,1062,자격,H50R,환경디자인_L5,기사급이상
육군,1062,자격,5H1G,환경디자인_L5,기사급이상
육군,1062,자격,H55R,환경디자인_L5,기사급이상
공군,BJ01,자격,H55R,환경디자인_L5,기사급이상
공군,BJ01,자격,5H1G,환경디자인_L5,기사급이상
공군,BJ01,자격,H50R,환경디자인_L5,기사급이상
해병,BJ20,자격,H30L,환경디자인_L3,산업기사급
해병,BJ20,자격,H33L,환경디자인_L3,산업기사급
해병,BJ20,자격,3H0M,환경디자인_L3,산업기사급
해병,BJ20,자격,H35L,환경디자인_L3,산업기사급
해병,BJ01,자격,3H0M,환경디자인_L3,산업기사급
해병,BJ01,자격,H33L,환경디자인_L3,산업기사급
해병,BJ01,자격,H35L,환경디자인_L3,산업기사급
해병,BJ01,자격,H30L,환경디자인_L3,산업기사급
해군,BJ01,자격,3H0M,환경디자인_L3,산업기사급
해군,BJ01,자격,H30L,환경디자인_L3,산업기사급
해군,BJ01,자격,H33L,환경디자인_L3,산업기사급
해군,BJ01,자격,H35L,환경디자인_L3,산업기사급
육군,1062,자격,H30L,환경디자인_L3,산업기사급
육군,1062,자격,3H0M,환경디자인_L3,산업기사급
육군,1062,자격,H33L,환경디자인_L3,산업기사급
육군,1062,자격,H35L,환경디자인_L3,산업기사급
공군,BJ01,자격,3H0M,환경디자인_L3,산업기사급
공군,BJ01,자격,H30L,환경디자인_L3,산업기사급
공군,BJ01,자격,H35L,환경디자인_L3,산업기사급
공군,BJ01,자격,H33L,환경디자인_L3,산업기사급
해병,BJ20,자격,7918,환경기능사,기능사급
해병,BJ02,자격,7918,환경기능사,기능사급
해병,BJ01,자격,7918,환경기능사,기능사급
해병,3104,자격,7918,환경기능사,기능사급
해군,BJ02,자격,7918,환경기능사,기능사급
해군,BJ01,자격,7918,환경기능사,기능사급
해군,3008,자격,7918,환경기능사,기능사급
해군,1008,자격,7918,환경기능사,
육군,6031,자격,7918,환경기능사,기능사급
육군,6031,자격,F918,환경기능사,기능사급
공군,BJ06,자격,7918,환경기능사,기능사급
공군,BJ02,자격,F918,환경기능사,기능사급
공군,BJ02,자격,7918,환경기능사,기능사급
공군,BJ01,자격,7918,환경기능사,기능사급
공군,BJ01,자격,F918,환경기능사,기능사급
해병,BJ20,자격,1576,화훼장식기사,기사급이상
해병,BJ01,자격,1576,화훼장식기사,기사급이상
해군,BJ01,자격,1576,화훼장식기사,기사급이상
해병,BJ20,자격,7625,화훼장식기능사,기능사급
해병,BJ01,자격,7625,화훼장식기능사,기능사급
해군,BJ01,자격,7625,화훼장식기능사,기능사급
해병,BJ07,면허,A0225,화학실기교사,기사급이상
해병,BJ07,면허,A0228,화학실기교사,기사급이상
육군,6022,면허,A0228,화학실기교사,기사급이상
육군,6022,면허,A0225,화학실기교사,기사급이상
육군,6021,면허,A0225,화학실기교사,기사급이상
육군,6021,면허,A0228,화학실기교사,기사급이상
해병,BJ20,자격,1563,화학분석기사,기사급이상
해병,BJ07,자격,1563,화학분석기사,기사급이상
해병,BJ01,자격,1563,화학분석기사,기사급이상
해병,3104,자격,1563,화학분석기사,기사급이상
해군,BJ01,자격,1563,화학분석기사,기사급이상
육군,6022,자격,1563,화학분석기사,기사급이상
육군,6021,자격,1563,화학분석기사,기사급이상
공군,BJ02,자격,1563,화학분석기사,기사급이상
공군,BJ01,자격,1563,화학분석기사,기사급이상
해병,BJ20,자격,6560,화학분석기능사,기능사급
해병,BJ07,자격,6560,화학분석기능사,기능사급
해병,BJ02,자격,6560,화학분석기능사,기능사급
해병,BJ01,자격,6560,화학분석기능사,기능사급
해병,3104,자격,6560,화학분석기능사,기능사급
해군,BJ02,자격,E560,화학분석기능사,기능사급
해군,BJ02,자격,6560,화학분석기능사,기능사급
해군,BJ01,자격,E560,화학분석기능사,기능사급
해군,BJ01,자격,6560,화학분석기능사,기능사급
해군,3008,자격,6560,화학분석기능사,기능사급
해군,1008,자격,6560,화학분석기능사,
육군,6022,자격,6560,화학분석기능사,기능사급
육군,6022,자격,E560,화학분석기능사,기능사급
육군,6021,자격,6560,화학분석기능사,기능사급
육군,6021,자격,E560,화학분석기능사,기능사급
공군,BJ02,자격,E560,화학분석기능사,기능사급
공군,BJ02,자격,6560,화학분석기능사,기능사급
공군,BJ01,자격,E560,화학분석기능사,기능사급
공군,BJ01,자격,6560,화학분석기능사,기능사급
공군,1006,자격,6560,화학분석기능사,기능사급
해병,BJ20,자격,Q53B,화학물질취급관리_L5,기사급이상
해병,BJ20,자격,Q55B,화학물질취급관리_L5,기사급이상
해병,BJ20,자격,Q50B,화학물질취급관리_L5,기사급이상
해병,BJ08,자격,Q53B,화학물질취급관리_L5,기사급이상
해병,BJ08,자격,Q50B,화학물질취급관리_L5,기사급이상
해병,BJ08,자격,Q55B,화학물질취급관리_L5,기사급이상
해병,BJ07,자격,Q55B,화학물질취급관리_L5,기사급이상
해병,BJ07,자격,Q50B,화학물질취급관리_L5,기사급이상
해병,BJ07,자격,Q53B,화학물질취급관리_L5,기사급이상
해병,BJ01,자격,Q55B,화학물질취급관리_L5,기사급이상
해병,BJ01,자격,Q50B,화학물질취급관리_L5,기사급이상
해병,BJ01,자격,Q53B,화학물질취급관리_L5,기사급이상
해군,BJ02,자격,Q50B,화학물질취급관리_L5,기사급이상
해군,BJ02,자격,Q55B,화학물질취급관리_L5,기사급이상
해군,BJ02,자격,Q53B,화학물질취급관리_L5,기사급이상
해군,BJ01,자격,Q55B,화학물질취급관리_L5,기사급이상
해군,BJ01,자격,Q53B,화학물질취급관리_L5,기사급이상
해군,BJ01,자격,Q50B,화학물질취급관리_L5,기사급이상
육군,6021,자격,Q53B,화학물질취급관리_L5,기사급이상
육군,6021,자격,Q55B,화학물질취급관리_L5,기사급이상
육군,6021,자격,Q50B,화학물질취급관리_L5,기사급이상
공군,BJ01,자격,Q50B,화학물질취급관리_L5,기사급이상
공군,BJ01,자격,Q53B,화학물질취급관리_L5,기사급이상
공군,BJ01,자격,Q55B,화학물질취급관리_L5,기사급이상
해병,BJ20,자격,Q33B,화학물질취급관리_L3,산업기사급
해병,BJ20,자격,Q30B,화학물질취급관리_L3,산업기사급
해병,BJ20,자격,Q35B,화학물질취급관리_L3,산업기사급
해병,BJ08,자격,Q35B,화학물질취급관리_L3,산업기사급
해병,BJ08,자격,Q33B,화학물질취급관리_L3,산업기사급
해병,BJ08,자격,Q30B,화학물질취급관리_L3,산업기사급
해병,BJ07,자격,Q35B,화학물질취급관리_L3,산업기사급
해병,BJ07,자격,Q33B,화학물질취급관리_L3,산업기사급
해병,BJ07,자격,Q30B,화학물질취급관리_L3,산업기사급
해병,BJ01,자격,Q35B,화학물질취급관리_L3,산업기사급
해병,BJ01,자격,Q33B,화학물질취급관리_L3,산업기사급
해병,BJ01,자격,Q30B,화학물질취급관리_L3,산업기사급
해군,BJ02,자격,Q35B,화학물질취급관리_L3,산업기사급
해군,BJ02,자격,Q30B,화학물질취급관리_L3,산업기사급
해군,BJ02,자격,Q33B,화학물질취급관리_L3,산업기사급
해군,BJ01,자격,Q30B,화학물질취급관리_L3,산업기사급
해군,BJ01,자격,Q35B,화학물질취급관리_L3,산업기사급
해군,BJ01,자격,Q33B,화학물질취급관리_L3,산업기사급
육군,6021,자격,Q35B,화학물질취급관리_L3,산업기사급
육군,6021,자격,Q30B,화학물질취급관리_L3,산업기사급
육군,6021,자격,Q33B,화학물질취급관리_L3,산업기사급
공군,BJ01,자격,Q33B,화학물질취급관리_L3,산업기사급
공군,BJ01,자격,Q30B,화학물질취급관리_L3,산업기사급
공군,BJ01,자격,Q35B,화학물질취급관리_L3,산업기사급
해병,BJ20,자격,Q55A,화학물질분석_L5,기사급이상
해병,BJ08,자격,Q55A,화학물질분석_L5,기사급이상
해병,BJ07,자격,Q55A,화학물질분석_L5,기사급이상
해병,BJ01,자격,Q55A,화학물질분석_L5,기사급이상
해군,BJ02,자격,Q55A,화학물질분석_L5,기사급이상
해군,BJ01,자격,Q55A,화학물질분석_L5,기사급이상
육군,6021,자격,Q55A,화학물질분석_L5,기사급이상
공군,BJ01,자격,Q55A,화학물질분석_L5,기사급이상
해군,BJ02,자격,Q35A,화학물질분석_L3,산업기사급
해군,BJ02,자격,Q30A,화학물질분석_L3,산업기사급
해군,BJ02,자격,Q33A,화학물질분석_L3,산업기사급
해군,BJ01,자격,Q30A,화학물질분석_L3,산업기사급
해군,BJ01,자격,Q35A,화학물질분석_L3,산업기사급
해군,BJ01,자격,Q33A,화학물질분석_L3,산업기사급
육군,6021,자격,Q35A,화학물질분석_L3,산업기사급
육군,6021,자격,Q30A,화학물질분석_L3,산업기사급
육군,6021,자격,Q33A,화학물질분석_L3,산업기사급
공군,BJ01,자격,Q35A,화학물질분석_L3,산업기사급
공군,BJ01,자격,Q30A,화학물질분석_L3,산업기사급
공군,BJ01,자격,Q33A,화학물질분석_L3,산업기사급
해병,BJ20,자격,5Q1A,화학물질 취급관리_L5,기사급이상
해병,BJ08,자격,5Q1A,화학물질 취급관리_L5,기사급이상
해병,BJ07,자격,5Q1A,화학물질 취급관리_L5,기사급이상
해병,BJ01,자격,5Q1A,화학물질 취급관리_L5,기사급이상
해군,BJ02,자격,5Q1A,화학물질 취급관리_L5,기사급이상
해군,BJ01,자격,5Q1A,화학물질 취급관리_L5,기사급이상
육군,6021,자격,5Q1A,화학물질 취급관리_L5,기사급이상
공군,BJ01,자격,5Q1A,화학물질 취급관리_L5,기사급이상
해병,BJ20,자격,3Q0Y,화학물질 취급관리_L3,산업기사급
해병,BJ08,자격,3Q0Y,화학물질 취급관리_L3,산업기사급
해병,BJ07,자격,3Q0Y,화학물질 취급관리_L3,산업기사급
해병,BJ01,자격,3Q0Y,화학물질 취급관리_L3,산업기사급
해군,BJ02,자격,3Q0Y,화학물질 취급관리_L3,산업기사급
해군,BJ01,자격,3Q0Y,화학물질 취급관리_L3,산업기사급
육군,6021,자격,3Q0Y,화학물질 취급관리_L3,산업기사급
공군,BJ01,자격,3Q0Y,화학물질 취급관리_L3,산업기사급
해병,BJ20,자격,5Q0Z,화학물질 분석_L5,기사급이상
해병,BJ08,자격,5Q0Z,화학물질 분석_L5,기사급이상
해병,BJ07,자격,5Q0Z,화학물질 분석_L5,기사급이상
해병,BJ01,자격,5Q0Z,화학물질 분석_L5,기사급이상
해군,BJ02,자격,5Q0Z,화학물질 분석_L5,기사급이상
해군,BJ01,자격,5Q0Z,화학물질 분석_L5,기사급이상
육군,6021,자격,5Q0Z,화학물질 분석_L5,기사급이상
공군,BJ01,자격,5Q0Z,화학물질 분석_L5,기사급이상
해군,BJ02,자격,3Q0X,화학물질 분석_L3,산업기사급
해군,BJ01,자격,3Q0X,화학물질 분석_L3,산업기사급
육군,6021,자격,3Q0X,화학물질 분석_L3,산업기사급
공군,BJ01,자격,3Q0X,화학물질 분석_L3,산업기사급
해병,BJ07,자격,0220,화학공장설계기술사,기사급이상
해병,BJ02,자격,0220,화학공장설계기술사,기사급이상
해병,3104,자격,0220,화학공장설계기술사,기사급이상
해군,BJ02,자격,0220,화학공장설계기술사,기사급이상
해군,3008,자격,0220,화학공장설계기술사,기사급이상
해군,1008,자격,0220,화학공장설계기술사,
육군,6022,자격,0220,화학공장설계기술사,기사급이상
육군,6021,자격,0220,화학공장설계기술사,기사급이상
공군,BJ02,자격,0220,화학공장설계기술사,기사급이상
공군,BJ01,자격,0220,화학공장설계기술사,기사급이상
공군,1006,자격,0220,화학공장설계기술사,기사급이상
해병,BJ07,면허,4051,화재조사관,기능사급
해병,BJ07,자격,0102,화재조사관,기능사급
육군,3081,면허,4051,화재조사관,기능사급
육군,3081,자격,0102,화재조사관,기능사급
해병,BJ20,자격,2441,화재감식평가산업기사,산업기사급
해병,BJ01,자격,2441,화재감식평가산업기사,산업기사급
해군,BJ01,자격,2441,화재감식평가산업기사,산업기사급
해병,BJ20,자격,1441,화재감식평가기사,기사급이상
해병,BJ01,자격,1441,화재감식평가기사,기사급이상
해군,BJ01,자격,1441,화재감식평가기사,기사급이상
해병,BJ20,자격,Q50H,화장품제조_L5,기사급이상
해병,BJ20,자격,Q53H,화장품제조_L5,기사급이상
해병,BJ20,자격,Q55H,화장품제조_L5,기사급이상
해병,BJ01,자격,Q53H,화장품제조_L5,기사급이상
해병,BJ01,자격,Q50H,화장품제조_L5,기사급이상
해병,BJ01,자격,Q55H,화장품제조_L5,기사급이상
해군,BJ02,자격,Q50H,화장품제조_L5,기사급이상
해군,BJ02,자격,Q53H,화장품제조_L5,기사급이상
해군,BJ02,자격,Q55H,화장품제조_L5,기사급이상
해군,BJ01,자격,Q50H,화장품제조_L5,기사급이상
해군,BJ01,자격,Q55H,화장품제조_L5,기사급이상
해군,BJ01,자격,Q53H,화장품제조_L5,기사급이상
육군,6021,자격,Q50H,화장품제조_L5,기사급이상
육군,6021,자격,Q55H,화장품제조_L5,기사급이상
육군,6021,자격,Q53H,화장품제조_L5,기사급이상
공군,BJ01,자격,Q55H,화장품제조_L5,기사급이상
공군,BJ01,자격,Q53H,화장품제조_L5,기사급이상
공군,BJ01,자격,Q50H,화장품제조_L5,기사급이상
해병,BJ20,자격,Q30G,화장품제조_L3,산업기사급
해병,BJ20,자격,Q35G,화장품제조_L3,산업기사급
해병,BJ20,자격,Q33G,화장품제조_L3,산업기사급
해병,BJ01,자격,Q33G,화장품제조_L3,산업기사급
해병,BJ01,자격,Q30G,화장품제조_L3,산업기사급
해병,BJ01,자격,Q35G,화장품제조_L3,산업기사급
해군,BJ02,자격,Q30G,화장품제조_L3,산업기사급
해군,BJ02,자격,Q35G,화장품제조_L3,산업기사급
해군,BJ02,자격,Q33G,화장품제조_L3,산업기사급
해군,BJ01,자격,Q30G,화장품제조_L3,산업기사급
해군,BJ01,자격,Q35G,화장품제조_L3,산업기사급
해군,BJ01,자격,Q33G,화장품제조_L3,산업기사급
육군,6021,자격,Q30G,화장품제조_L3,산업기사급
육군,6021,자격,Q35G,화장품제조_L3,산업기사급
육군,6021,자격,Q33G,화장품제조_L3,산업기사급
공군,BJ01,자격,Q33G,화장품제조_L3,산업기사급
공군,BJ01,자격,Q30G,화장품제조_L3,산업기사급
공군,BJ01,자격,Q35G,화장품제조_L3,산업기사급
해병,BJ20,자격,7970,화약취급기능사,기능사급
해병,BJ07,자격,7970,화약취급기능사,기능사급
해병,BJ02,자격,7970,화약취급기능사,기능사급
해병,BJ01,자격,7970,화약취급기능사,기능사급
해병,3104,자격,7970,화약취급기능사,기능사급
해군,BJ02,자격,7970,화약취급기능사,기능사급
해군,BJ01,자격,7970,화약취급기능사,기능사급
해군,3008,자격,7970,화약취급기능사,기능사급
해군,1008,자격,7970,화약취급기능사,
육군,6022,자격,F970,화약취급기능사,기능사급
육군,6022,자격,7970,화약취급기능사,기능사급
육군,6021,자격,F970,화약취급기능사,기능사급
육군,6021,자격,7970,화약취급기능사,기능사급
육군,3051,자격,F970,화약취급기능사,기능사급
육군,3051,자격,7970,화약취급기능사,기능사급
공군,BJ02,자격,7970,화약취급기능사,기능사급
공군,1006,자격,7970,화약취급기능사,기능사급
해병,BJ20,자격,2120,화약류제조산업기사,산업기사급
해병,BJ07,자격,2120,화약류제조산업기사,산업기사급
해병,BJ02,자격,2120,화약류제조산업기사,산업기사급
해병,BJ01,자격,2120,화약류제조산업기사,산업기사급
해병,3104,자격,2120,화약류제조산업기사,산업기사급
해군,BJ02,자격,2120,화약류제조산업기사,산업기사급
해군,BJ01,자격,2120,화약류제조산업기사,산업기사급
해군,3008,자격,2120,화약류제조산업기사,산업기사급
해군,1008,자격,2120,화약류제조산업기사,
육군,6022,자격,2120,화약류제조산업기사,산업기사급
육군,6021,자격,2120,화약류제조산업기사,산업기사급
육군,3051,자격,2120,화약류제조산업기사,산업기사급
공군,BJ02,자격,2120,화약류제조산업기사,산업기사급
공군,1006,자격,2120,화약류제조산업기사,
해병,BJ20,자격,1130,화약류제조기사,기사급이상
해병,BJ07,자격,1130,화약류제조기사,기사급이상
해병,BJ02,자격,1130,화약류제조기사,기사급이상
해병,BJ01,자격,1130,화약류제조기사,기사급이상
해병,3104,자격,1130,화약류제조기사,기사급이상
해군,BJ02,자격,1130,화약류제조기사,기사급이상
해군,BJ01,자격,1130,화약류제조기사,기사급이상
해군,3008,자격,1130,화약류제조기사,기사급이상
해군,1008,자격,1130,화약류제조기사,
육군,6022,자격,1130,화약류제조기사,기사급이상
육군,6021,자격,1130,화약류제조기사,기사급이상
육군,3051,자격,1130,화약류제조기사,기사급이상
공군,BJ02,자격,1130,화약류제조기사,기사급이상
공군,1006,자격,1130,화약류제조기사,
해병,BJ20,자격,2130,화약류관리산업기사,산업기사급
해병,BJ07,자격,2130,화약류관리산업기사,산업기사급
해병,BJ02,자격,2130,화약류관리산업기사,산업기사급
해병,BJ01,자격,2130,화약류관리산업기사,산업기사급
해병,3104,자격,2130,화약류관리산업기사,산업기사급
해군,BJ02,자격,2130,화약류관리산업기사,산업기사급
해군,BJ01,자격,2130,화약류관리산업기사,산업기사급
해군,3008,자격,2130,화약류관리산업기사,산업기사급
해군,1008,자격,2130,화약류관리산업기사,
육군,6022,자격,2130,화약류관리산업기사,산업기사급
육군,6021,자격,2130,화약류관리산업기사,산업기사급
육군,3051,자격,2130,화약류관리산업기사,산업기사급
공군,BJ02,자격,2130,화약류관리산업기사,산업기사급
공군,1006,자격,2130,화약류관리산업기사,산업기사급
해병,BJ20,자격,0591,화약류관리기술사,기사급이상
해병,BJ07,자격,0591,화약류관리기술사,기사급이상
해병,BJ02,자격,0591,화약류관리기술사,기사급이상
해병,BJ01,자격,0591,화약류관리기술사,기사급이상
해병,3104,자격,0591,화약류관리기술사,기사급이상
해군,BJ02,자격,0591,화약류관리기술사,기사급이상
해군,BJ01,자격,0591,화약류관리기술사,기사급이상
해군,3008,자격,0591,화약류관리기술사,기사급이상
해군,1008,자격,0591,화약류관리기술사,
육군,6022,자격,0591,화약류관리기술사,기사급이상
육군,6021,자격,0591,화약류관리기술사,기사급이상
육군,3051,자격,0591,화약류관리기술사,기사급이상
공군,BJ02,자격,0591,화약류관리기술사,기사급이상
공군,1006,자격,0591,화약류관리기술사,기사급이상
해병,BJ20,자격,1140,화약류관리기사,기사급이상
해병,BJ07,자격,1140,화약류관리기사,기사급이상
해병,BJ02,자격,1140,화약류관리기사,기사급이상
해병,BJ01,자격,1140,화약류관리기사,기사급이상
해병,3104,자격,1140,화약류관리기사,기사급이상
해군,BJ02,자격,1140,화약류관리기사,기사급이상
해군,BJ01,자격,1140,화약류관리기사,기사급이상
해군,3008,자격,1140,화약류관리기사,기사급이상
해군,1008,자격,1140,화약류관리기사,
육군,6022,자격,1140,화약류관리기사,기사급이상
육군,6021,자격,1140,화약류관리기사,기사급이상
육군,3051,자격,1140,화약류관리기사,기사급이상
공군,BJ02,자격,1140,화약류관리기사,기사급이상
공군,1006,자격,1140,화약류관리기사,기사급이상
육군,1028,면허,4037,화물자동차운송종사자,일반면허공인
공군,BJ01,자격,0411,화물운송종사,일반면허공인
해병,BJ20,자격,0720,화공안전기술사,기사급이상
해병,BJ07,자격,0720,화공안전기술사,기사급이상
해병,BJ02,자격,0720,화공안전기술사,기사급이상
해병,BJ01,자격,0720,화공안전기술사,기사급이상
해병,3104,자격,0720,화공안전기술사,기사급이상
해군,BJ02,자격,0720,화공안전기술사,기사급이상
해군,BJ01,자격,0720,화공안전기술사,기사급이상
해군,3008,자격,0720,화공안전기술사,기사급이상
해군,1008,자격,0720,화공안전기술사,
육군,6022,자격,0720,화공안전기술사,기사급이상
육군,6021,자격,0720,화공안전기술사,기사급이상
공군,BJ09,자격,0720,화공안전기술사,기사급이상
공군,BJ02,자격,0720,화공안전기술사,기사급이상
공군,BJ01,자격,0720,화공안전기술사,기사급이상
공군,1006,자격,0720,화공안전기술사,기사급이상
해병,BJ07,면허,A0224,화공실기교사,기사급이상
해병,BJ07,면허,A0227,화공실기교사,기사급이상
육군,6022,면허,A0224,화공실기교사,기사급이상
육군,6022,면허,A0227,화공실기교사,기사급이상
육군,6021,면허,A0227,화공실기교사,기사급이상
육군,6021,면허,A0224,화공실기교사,기사급이상
해병,BJ07,자격,2112,화공산업기사,산업기사급
해병,BJ02,자격,2112,화공산업기사,산업기사급
해병,3104,자격,2112,화공산업기사,산업기사급
해군,BJ02,자격,2112,화공산업기사,산업기사급
해군,3008,자격,2112,화공산업기사,산업기사급
해군,1008,자격,2112,화공산업기사,
육군,6022,자격,2112,화공산업기사,산업기사급
육군,6021,자격,2112,화공산업기사,산업기사급
공군,BJ02,자격,2112,화공산업기사,산업기사급
공군,BJ01,자격,2112,화공산업기사,산업기사급
공군,1006,자격,2112,화공산업기사,
해병,BJ07,자격,0210,화공기술사,기사급이상
해병,BJ02,자격,0210,화공기술사,기사급이상
해병,3104,자격,0210,화공기술사,기사급이상
해군,BJ02,자격,0210,화공기술사,기사급이상
해군,3008,자격,0210,화공기술사,기사급이상
해군,1008,자격,0210,화공기술사,
육군,6022,자격,0210,화공기술사,기사급이상
육군,6021,자격,0210,화공기술사,기사급이상
공군,BJ02,자격,0210,화공기술사,기사급이상
공군,BJ01,자격,0210,화공기술사,기사급이상
공군,1006,자격,0210,화공기술사,기사급이상
해병,BJ20,자격,1110,화공기사,기사급이상
해병,BJ07,자격,1110,화공기사,기사급이상
해병,BJ02,자격,1110,화공기사,기사급이상
해병,BJ01,자격,1110,화공기사,기사급이상
해병,3104,자격,1110,화공기사,기사급이상
해군,BJ02,자격,1110,화공기사,기사급이상
해군,BJ01,자격,1110,화공기사,기사급이상
해군,3008,자격,1110,화공기사,기사급이상
해군,1008,자격,1110,화공기사,
육군,6022,자격,B110,화공기사,기사급이상
육군,6022,자격,1110,화공기사,기사급이상
육군,6021,자격,1110,화공기사,기사급이상
육군,6021,자격,B110,화공기사,기사급이상
공군,BJ02,자격,1110,화공기사,기사급이상
공군,BJ01,자격,1110,화공기사,기사급이상
공군,BJ01,자격,B110,화공기사,기사급이상
공군,1006,자격,1110,화공기사,
공군,1006,자격,1110,화공기사,기사급이상
해병,BJ20,자격,L33Q,호텔식음료서비스_L3,산업기사급
해병,BJ20,자격,L35Q,호텔식음료서비스_L3,산업기사급
해병,BJ20,자격,L30Q,호텔식음료서비스_L3,산업기사급
해병,BJ20,자격,3L0X,호텔식음료서비스_L3,산업기사급
해병,BJ01,자격,3L0X,호텔식음료서비스_L3,산업기사급
해병,BJ01,자격,L33Q,호텔식음료서비스_L3,산업기사급
해병,BJ01,자격,L35Q,호텔식음료서비스_L3,산업기사급
해병,BJ01,자격,L30Q,호텔식음료서비스_L3,산업기사급
해군,BJ08,자격,3L0X,호텔식음료서비스_L3,산업기사급
해군,BJ08,자격,L35Q,호텔식음료서비스_L3,산업기사급
해군,BJ08,자격,L33Q,호텔식음료서비스_L3,산업기사급
해군,BJ08,자격,L30Q,호텔식음료서비스_L3,산업기사급
해군,BJ01,자격,L35Q,호텔식음료서비스_L3,산업기사급
해군,BJ01,자격,L30Q,호텔식음료서비스_L3,산업기사급
해군,BJ01,자격,3L0X,호텔식음료서비스_L3,산업기사급
해군,BJ01,자격,L33Q,호텔식음료서비스_L3,산업기사급
육군,8034,자격,L33Q,호텔식음료서비스_L3,산업기사급
육군,8034,자격,3L0X,호텔식음료서비스_L3,산업기사급
육군,8034,자격,L30Q,호텔식음료서비스_L3,산업기사급
육군,8034,자격,L35Q,호텔식음료서비스_L3,산업기사급
공군,BJ01,자격,L33Q,호텔식음료서비스_L3,산업기사급
공군,BJ01,자격,L30Q,호텔식음료서비스_L3,산업기사급
공군,BJ01,자격,L35Q,호텔식음료서비스_L3,산업기사급
공군,BJ01,자격,3L0X,호텔식음료서비스_L3,산업기사급
해병,BJ20,면허,A0030,호텔서비스사,일반면허공인
해병,BJ01,면허,A0030,호텔서비스사,일반면허공인
해군,BJ01,면허,A0030,호텔서비스사,일반면허공인
육군,1021,면허,A0030,호텔서비스사,일반면허공인
